saleid|itemid|customerid|storeid|time|qty|pricerange
3506|13517|16566|45|73|19|4
78345|10528|4745|20|73|23|1 
79991|6715|707|75|41|34|4
90466|6697|8397|83|92|16|5
22332|9639|2435|29|17|31|3
95047|11877|2020|44|79|29|1 
48867|12387|15274|98|76|35|1 
22220|10650|5746|57|73|24|5
53696|9958|11849|85|16|9|1 
34328|11376|4042|50|66|44|1 
61356|11001|8397|72|73|32|5
41673|11026|13072|76|73|1|1 
48926|10905|8397|65|73|7|1 
68040|8606|2477|50|73|11|1 
14876|9215|8397|49|71|40|1 
69406|6115|16788|60|73|20|3
46341|10445|17854|100|73|45|1 
17846|10923|5746|34|95|29|2
67528|7382|8397|40|16|16|3
76012|13098|5746|92|78|21|3
86835|10653|14308|95|48|43|2
51047|9598|7753|2|59|6|1 
96804|11995|5746|49|73|19|2
98311|7575|4973|62|95|38|2
43843|3681|10729|82|73|40|1 
34150|12333|17880|4|73|42|1 
16476|6592|3441|74|73|27|1 
63161|6582|5746|51|1|26|1 
84697|11352|8099|19|75|29|3
33182|6613|16828|26|22|32|1 
28744|9201|5746|20|73|26|1 
16315|10538|8200|68|52|29|1 
53008|6712|3312|79|73|49|1 
32673|13770|5246|63|73|38|1 
43258|6341|16802|38|73|26|1 
8022|8853|8397|40|91|48|1 
91641|10161|8397|86|73|20|1 
99548|13063|17176|75|73|30|1 
82679|11478|8397|19|73|36|2
81456|11280|18615|59|73|16|2
28270|8299|65|59|31|48|1 
29218|10394|4111|56|32|6|1 
58702|8587|8397|10|73|19|3
87920|9368|9374|88|73|17|2
38307|8466|14689|14|73|4|5
92962|7730|12465|78|34|50|1 
33247|7218|5746|25|73|45|1 
17942|11876|13955|90|48|49|2
63730|8682|19548|73|22|2|1 
83906|8354|17376|41|73|3|1 
33512|12204|4061|16|89|26|1 
61913|10752|6885|2|73|2|1 
30864|9393|5388|56|89|49|1 
90527|7666|8397|72|73|30|1 
79096|10304|2504|87|73|45|1 
5609|11688|5746|47|1|42|2
60610|8310|12136|29|16|7|1 
21054|11309|8397|97|73|6|1 
2433|8013|19557|18|73|22|1 
17477|12862|5901|91|73|45|1 
55631|10379|13613|45|95|1|4
26009|8262|4631|45|73|32|1 
9488|11926|8397|26|16|14|1 
79057|11428|5925|76|98|15|1 
81674|9212|8397|17|85|44|3
8639|11536|12023|64|73|25|1 
56036|10651|11060|99|73|46|3
52362|8611|16973|32|66|46|1 
17407|9419|14376|39|46|20|1 
54437|6699|8397|89|73|4|1 
41686|12066|2185|85|73|24|1 
52447|6260|8397|28|16|11|1 
50032|11031|6695|2|17|32|1 
50540|12663|5676|42|16|39|1 
37059|12957|16946|91|35|27|4
16651|11684|4288|42|100|36|1 
72963|11222|6202|31|73|27|1 
33041|9211|1760|43|73|24|1 
26796|11409|17805|96|73|23|3
97952|10856|5696|76|66|1|1 
17823|10969|19260|89|73|44|1 
59016|8772|8397|18|73|4|3
88100|11332|2674|23|73|39|2
4980|11559|6662|100|94|24|2
39494|9536|10729|36|95|44|2
22966|8938|8397|91|37|9|5
12858|11202|5746|85|73|20|1 
74671|9610|16868|28|97|22|1 
